               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11269,            0.026983,            0.048418,                   0,                   0,                   0,                   0,            0.091954,            0.014672,            0.036287,            0.070219,            0.003309,            0.003309
                   1,             0.11391,            0.026736,            0.048895,                   0,                   0,                   0,                   0,             0.13102,              2.0081,              1.7493,            0.040153,           0.0065766,           0.0065766
                   2,             0.10959,            0.026476,            0.047594,                   0,                   0,                   0,                   0,             0.09195,            0.013918,            0.036108,            0.010021,           0.0097782,           0.0097782
                   3,             0.11006,            0.026485,            0.046522,                   0,                   0,                   0,                   0,               0.092,              0.0138,            0.035945,            0.009703,            0.009703,            0.009703
                   4,             0.11065,            0.026518,            0.046725,                   0,                   0,                   0,                   0,            0.092038,            0.013686,            0.035375,            0.009703,            0.009703,            0.009703
                   5,             0.11031,            0.026168,            0.047072,                   0,                   0,                   0,                   0,            0.092048,            0.013738,            0.035244,            0.009604,            0.009604,            0.009604
                   6,             0.11261,            0.026329,            0.047845,                   0,                   0,                   0,                   0,            0.092047,            0.013656,            0.036041,            0.009505,            0.009505,            0.009505
                   7,             0.11199,             0.02648,            0.046712,                   0,                   0,                   0,                   0,            0.091871,            0.013577,            0.035544,            0.009406,            0.009406,            0.009406
                   8,              0.1094,            0.026381,            0.047982,                   0,                   0,                   0,                   0,            0.091659,            0.013656,            0.036119,            0.009307,            0.009307,            0.009307
                   9,             0.10998,            0.026208,            0.050551,                   0,                   0,                   0,                   0,            0.091886,             0.01355,            0.035772,            0.009208,            0.009208,            0.009208
                  10,             0.11048,            0.026365,            0.046567,                   0,                   0,                   0,                   0,            0.092003,            0.013536,            0.035063,            0.009109,            0.009109,            0.009109
                  11,             0.11267,            0.026747,            0.050243,                   0,                   0,                   0,                   0,            0.091895,            0.013569,            0.035285,             0.00901,             0.00901,             0.00901
                  12,             0.11113,            0.026508,            0.048544,                   0,                   0,                   0,                   0,            0.091727,            0.013586,            0.035708,            0.008911,            0.008911,            0.008911
                  13,             0.11036,            0.026584,            0.049558,                   0,                   0,                   0,                   0,            0.091639,            0.013592,            0.035265,            0.008812,            0.008812,            0.008812
                  14,             0.11087,            0.026262,            0.046451,                   0,                   0,                   0,                   0,            0.091712,            0.013579,            0.035421,            0.008713,            0.008713,            0.008713
                  15,             0.11074,             0.02665,            0.046519,                   0,                   0,                   0,                   0,             0.09197,             0.01361,            0.035164,            0.008614,            0.008614,            0.008614
                  16,             0.11135,            0.026291,            0.048007,                   0,                   0,                   0,                   0,            0.091771,            0.013578,            0.035621,            0.008515,            0.008515,            0.008515
                  17,              0.1107,            0.026531,            0.047198,                   0,                   0,                   0,                   0,            0.091949,             0.01355,            0.035643,            0.008416,            0.008416,            0.008416
                  18,             0.11185,            0.026354,            0.046851,                   0,                   0,                   0,                   0,            0.091813,            0.013579,            0.035529,            0.008317,            0.008317,            0.008317
                  19,             0.11127,            0.026803,            0.047765,                   0,                   0,                   0,                   0,            0.091745,            0.013541,            0.035329,            0.008218,            0.008218,            0.008218
                  20,             0.11021,            0.026466,            0.046728,                   0,                   0,                   0,                   0,            0.091778,            0.013594,            0.035434,            0.008119,            0.008119,            0.008119
                  21,             0.10888,             0.02633,            0.047105,                   0,                   0,                   0,                   0,            0.091915,            0.013468,             0.03565,             0.00802,             0.00802,             0.00802
                  22,             0.11046,            0.026404,            0.048295,                   0,                   0,                   0,                   0,            0.091894,            0.013439,            0.035249,            0.007921,            0.007921,            0.007921
                  23,             0.11068,            0.026662,            0.046559,                   0,                   0,                   0,                   0,            0.091745,            0.013451,            0.035498,            0.007822,            0.007822,            0.007822
                  24,             0.10954,            0.026394,            0.045921,                   0,                   0,                   0,                   0,            0.091866,            0.013475,            0.035298,            0.007723,            0.007723,            0.007723
                  25,             0.10929,            0.026492,            0.045704,                   0,                   0,                   0,                   0,            0.091734,            0.013327,            0.035549,            0.007624,            0.007624,            0.007624
                  26,             0.10854,            0.026717,            0.046265,                   0,                   0,                   0,                   0,            0.091561,            0.013457,            0.035233,            0.007525,            0.007525,            0.007525
                  27,             0.11091,            0.026785,            0.046767,                   0,                   0,                   0,                   0,            0.091631,            0.013411,            0.035599,            0.007426,            0.007426,            0.007426
                  28,             0.10849,            0.026752,            0.046003,                   0,                   0,                   0,                   0,            0.091617,            0.013429,            0.035732,            0.007327,            0.007327,            0.007327
                  29,             0.11019,            0.026499,            0.045899,                   0,                   0,                   0,                   0,            0.091824,            0.013527,            0.035111,            0.007228,            0.007228,            0.007228
                  30,             0.11106,            0.026766,            0.047115,                   0,                   0,                   0,                   0,            0.091593,            0.013217,            0.035391,            0.007129,            0.007129,            0.007129
                  31,             0.11159,            0.026997,            0.046829,                   0,                   0,                   0,                   0,            0.091504,            0.013618,             0.03544,             0.00703,             0.00703,             0.00703
                  32,             0.10859,            0.026589,            0.045789,                   0,                   0,                   0,                   0,            0.091552,            0.013407,            0.035353,            0.006931,            0.006931,            0.006931
                  33,             0.10988,            0.026625,             0.04595,                   0,                   0,                   0,                   0,            0.091546,             0.01331,            0.034973,            0.006832,            0.006832,            0.006832
                  34,             0.10785,            0.026713,            0.045247,                   0,                   0,                   0,                   0,            0.091536,            0.013513,            0.035073,            0.006733,            0.006733,            0.006733
                  35,              0.1106,            0.026707,            0.046863,                   0,                   0,                   0,                   0,            0.091641,            0.013544,            0.035032,            0.006634,            0.006634,            0.006634
                  36,             0.10806,            0.026911,            0.044913,                   0,                   0,                   0,                   0,            0.091581,            0.013366,            0.034735,            0.006535,            0.006535,            0.006535
                  37,             0.10825,            0.026985,            0.045539,                   0,                   0,                   0,                   0,            0.091577,            0.013326,            0.034401,            0.006436,            0.006436,            0.006436
                  38,             0.11108,            0.026495,            0.046189,                   0,                   0,                   0,                   0,            0.091164,            0.013257,            0.034343,            0.006337,            0.006337,            0.006337
                  39,             0.10843,            0.026642,            0.046067,                   0,                   0,                   0,                   0,            0.091399,            0.013291,            0.034861,            0.006238,            0.006238,            0.006238
                  40,             0.10874,            0.027006,            0.045636,                   0,                   0,                   0,                   0,            0.091418,            0.013073,            0.034698,            0.006139,            0.006139,            0.006139
                  41,             0.11065,            0.026572,            0.046087,                   0,                   0,                   0,                   0,            0.091092,             0.01309,             0.03391,             0.00604,             0.00604,             0.00604
                  42,             0.10848,            0.026797,            0.044963,                   0,                   0,                   0,                   0,            0.091275,            0.013105,            0.034384,            0.005941,            0.005941,            0.005941
                  43,             0.11044,            0.026682,            0.045657,                   0,                   0,                   0,                   0,             0.09151,            0.012873,            0.033937,            0.005842,            0.005842,            0.005842
                  44,             0.10971,            0.026835,            0.046167,           2.437e-05,           0.0037453,          1.5078e-05,          1.5078e-06,            0.091494,            0.013172,            0.034255,            0.005743,            0.005743,            0.005743
