               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11089,            0.026472,             0.05038,          4.2276e-05,            0.014981,          2.4675e-05,          5.2426e-06,             0.09265,            0.013131,            0.034095,            0.070219,            0.003309,            0.003309
                   1,               0.113,            0.026588,            0.048158,            0.001293,            0.042467,           0.0042363,          0.00080506,            0.090591,            0.013414,            0.034358,            0.040153,           0.0065766,           0.0065766
                   2,             0.10877,            0.026415,            0.045274,                   0,                   0,                   0,                   0,            0.091209,             0.01548,            0.033179,            0.010021,           0.0097782,           0.0097782
                   3,              0.1098,            0.026316,            0.049352,                   0,                   0,                   0,                   0,             0.09229,            0.013318,            0.035459,            0.009703,            0.009703,            0.009703
                   4,             0.11073,            0.026449,            0.047868,                   0,                   0,                   0,                   0,            0.093164,            0.013565,            0.036774,            0.009703,            0.009703,            0.009703
                   5,             0.11046,            0.026192,             0.05156,                   0,                   0,                   0,                   0,            0.091882,             0.01362,            0.035244,            0.009604,            0.009604,            0.009604
                   6,             0.11256,            0.026335,            0.050805,                   0,                   0,                   0,                   0,            0.091863,            0.013384,            0.035272,            0.009505,            0.009505,            0.009505
                   7,             0.11174,             0.02648,            0.048157,                   0,                   0,                   0,                   0,            0.092062,            0.013439,            0.035293,            0.009406,            0.009406,            0.009406
                   8,             0.10912,            0.026424,            0.046739,                   0,                   0,                   0,                   0,            0.091774,            0.013604,             0.03581,            0.009307,            0.009307,            0.009307
                   9,             0.10995,            0.026262,            0.047397,                   0,                   0,                   0,                   0,            0.091908,            0.013473,            0.036304,            0.009208,            0.009208,            0.009208
                  10,             0.11036,            0.026362,            0.047956,                   0,                   0,                   0,                   0,            0.091673,            0.013535,            0.035295,            0.009109,            0.009109,            0.009109
                  11,             0.11232,            0.026804,            0.046844,                   0,                   0,                   0,                   0,            0.091565,            0.013529,            0.035708,             0.00901,             0.00901,             0.00901
                  12,             0.11143,            0.026364,            0.049983,                   0,                   0,                   0,                   0,             0.09195,            0.013484,            0.035077,            0.008911,            0.008911,            0.008911
                  13,             0.11058,            0.026455,             0.04611,                   0,                   0,                   0,                   0,            0.094619,            0.013536,            0.036914,            0.008812,            0.008812,            0.008812
